Zip Code,City / Community,2022,2021,2020,2019,2018,2017
91411,Van Nuys,"$1,171,299 ","$1,083,822 ","$829,218 ","$805,371 ","$948,476 ","$758,528 "
91423,"Sherman Oaks, Van Nuys","$1,760,230 ","$1,658,924 ","$1,277,554 ","$1,292,132 ","$1,442,392 ","$1,214,429 "
91436,Encino,"$2,618,175 ","$2,379,216 ","$1,837,106 ","$1,857,820 ","$1,999,500 ","$1,757,084 "
91501,Burbank,"$1,382,839 ","$1,319,922 ","$1,006,012 ","$999,915 ","$1,125,533 ","$941,252 "
91502,Burbank,"$946,828 ","$931,844 ","$751,083 ","$750,595 ","$817,291 ","$698,477 "
91504,Burbank Glenoaks,"$1,248,369 ","$1,209,400 ","$922,818 ","$905,099 ","$1,002,449 ","$849,158 "
91505,Burbank,"$1,113,601 ","$1,087,695 ","$840,003 ","$829,439 ","$928,002 ","$774,250 "
91506,Burbank,"$1,182,488 ","$1,160,858 ","$873,797 ","$858,752 ","$967,287 ","$800,027 "
91601,"North Hollywood, Toluca Terrace","$1,087,263 ","$1,051,653 ","$832,059 ","$835,580 ","$922,709 ","$758,807 "
91602,"North Hollywood, Studio City, Toluca Lake, West Toluca Lake","$1,626,739 ","$1,526,273 ","$1,218,220 ","$1,201,995 ","$1,357,993 ","$1,144,150 "
91604,"North Hollywood, Studio City","$2,094,040 ","$2,003,817 ","$1,608,965 ","$1,612,138 ","$1,759,723 ","$1,511,549 "
91605,North Hollywood,"$814,522 ","$795,945 ","$600,540 ","$584,356 ","$689,725 ","$540,002 "
91606,"North Hollywood, Valley Glen","$899,480 ","$885,842 ","$678,593 ","$668,589 ","$773,731 ","$617,328 "
91607,"North Hollywood, Sherman Village, Valley Glen, Valley Village","$1,420,395 ","$1,379,998 ","$1,009,875 ","$1,003,790 ","$1,158,559 ","$941,738 "
91702,"Azusa, Irwindale","$673,304 ","$636,155 ","$491,047 ","$486,568 ","$544,984 ","$459,161 "
91706,"Baldwin Park, Irwindale","$646,330 ","$610,851 ","$479,000 ","$482,219 ","$533,571 ","$445,371 "
91711,Claremont,"$926,726 ","$890,177 ","$702,520 ","$694,026 ","$762,563 ","$671,295 "
91722,Covina,"$694,416 ","$667,835 ","$510,440 ","$511,373 ","$568,329 ","$481,214 "
91723,Covina,"$749,207 ","$724,264 ","$557,372 ","$553,382 ","$619,931 ","$530,064 "
91724,"Charter Oak, Covina","$826,371 ","$799,010 ","$617,648 ","$606,829 ","$680,511 ","$586,759 "
91731,El Monte,"$673,363 ","$652,676 ","$522,993 ","$548,738 ","$583,593 ","$510,114 "
91732,El Monte,"$677,262 ","$648,266 ","$516,628 ","$525,005 ","$570,041 ","$490,679 "
91733,"El Monte, South El Monte","$664,773 ","$643,025 ","$511,394 ","$514,020 ","$564,163 ","$480,194 "
91740,Glendora,"$757,804 ","$729,649 ","$564,289 ","$564,891 ","$625,702 ","$544,756 "
91741,Glendora,"$951,822 ","$916,267 ","$720,955 ","$732,829 ","$789,154 ","$701,760 "
91744,"City of Industry, La Puente, Valinda","$656,465 ","$625,164 ","$484,716 ","$477,178 ","$534,637 ","$452,931 "
91745,Hacienda Heights,"$904,155 ","$858,621 ","$676,851 ","$673,656 ","$735,132 ","$648,237 "
91746,"Avocado Heights, Bassett, West Puente Valley","$666,245 ","$633,865 ","$494,442 ","$492,684 ","$549,523 ","$458,944 "
91748,"City of Industry, Rowland Heights","$891,528 ","$841,485 ","$677,414 ","$680,555 ","$727,803 ","$662,808 "
91750,La Verne,"$887,524 ","$858,499 ","$668,232 ","$666,461 ","$737,589 ","$642,542 "
91754,Monterey Park,"$911,163 ","$892,762 ","$718,579 ","$708,125 ","$780,533 ","$665,015 "
91755,Monterey Park,"$874,590 ","$835,993 ","$664,212 ","$669,083 ","$735,579 ","$646,645 "
91765,Diamond Bar,"$986,194 ","$933,628 ","$733,513 ","$745,420 ","$790,634 ","$736,980 "
91766,Pomona Phillips Ranch,"$636,989 ","$605,297 ","$458,230 ","$445,644 ","$504,696 ","$421,834 "
91767,Pomona,"$639,898 ","$608,360 ","$466,899 ","$455,079 ","$515,423 ","$428,510 "
91768,Pomona,"$633,072 ","$595,581 ","$459,483 ","$443,358 ","$500,100 ","$418,164 "
91770,Rosemead,"$793,259 ","$769,804 ","$627,362 ","$625,017 ","$685,395 ","$589,762 "
91773,San Dimas,"$861,065 ","$831,897 ","$644,133 ","$640,197 ","$711,265 ","$618,160 "
91775,San Gabriel,"$1,210,254 ","$1,141,003 ","$909,293 ","$922,589 ","$993,262 ","$879,492 "
91776,San Gabriel,"$890,273 ","$885,440 ","$716,157 ","$714,563 ","$786,662 ","$683,059 "
91780,Temple City,"$963,009 ","$953,723 ","$765,370 ","$786,297 ","$831,908 ","$747,653 "
91789,"City of Industry, Diamond Bar, Walnut","$1,035,253 ","$977,561 ","$772,380 ","$787,564 ","$838,160 ","$783,012 "
91790,West Covina,"$751,028 ","$729,681 ","$560,757 ","$560,177 ","$617,966 ","$528,090 "
91791,West Covina,"$868,286 ","$836,829 ","$654,515 ","$655,725 ","$708,267 ","$623,302 "
91792,West Covina,"$770,555 ","$736,892 ","$568,217 ","$572,072 ","$624,430 ","$548,983 "
91801,Alhambra,"$937,611 ","$925,599 ","$742,326 ","$739,700 ","$799,924 ","$695,957 "
91803,Alhambra,"$901,758 ","$886,609 ","$704,323 ","$705,859 ","$776,846 ","$658,184 "
93510,Acton,"$866,524 ","$841,225 ","$620,082 ","$611,452 ","$689,445 ","$584,092 "
93532,"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points","$398,705 ","$398,595 ","$296,259 ","$286,604 ","$329,280 ","$273,498 "
93534,Lancaster,"$399,886 ","$382,861 ","$270,483 ","$260,167 ","$305,123 ","$233,022 "
93535,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens","$415,885 ","$395,764 ","$278,047 ","$268,952 ","$313,358 ","$242,267 "
93536,"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill","$521,693 ","$509,923 ","$371,561 ","$363,288 ","$416,694 ","$339,167 "
93543,"Juniper Hills, Littlerock, Sun Village","$437,865 ","$410,040 ","$301,256 ","$295,282 ","$345,677 ","$271,828 "
93544,"Crystalaire, Llano","$403,175 ","$380,122 ","$291,709 ","$277,688 ","$318,016 ","$256,205 "
93550,"Lake Los Angeles, Palmdale","$432,116 ","$412,277 ","$296,998 ","$286,101 ","$332,530 ","$262,229 "
93551,"City Ranch, Leona Valley, Palmdale","$578,439 ","$563,547 ","$412,848 ","$405,199 ","$457,001 ","$382,121 "
93552,Palmdale,"$479,027 ","$460,125 ","$328,836 ","$318,765 ","$367,131 ","$291,495 "
93553,"Juniper Hills, Pearblossom","$395,692 ","$386,919 ","$285,193 ","$278,135 ","$325,085 ","$258,698 "
93563,"Pearblossom, Valyermo","$396,795 ","$358,844 ","$304,482 ","$266,862 ","$277,180 ","$270,843 "
93591,"Lake Los Angeles, Palmdale","$369,426 ","$335,864 ","$243,221 ","$230,716 ","$270,996 ","$200,203 "
