Zip Code,City / Community,2022,2021,2020,2019,2018,2017
90049,"Bel Air Estates, Brentwood","$3,899,379 ","$3,820,599 ","$3,293,094 ","$3,387,733 ","$3,516,342 ","$3,348,305 "
90056,Ladera Heights,"$1,785,614 ","$1,698,714 ","$1,349,013 ","$1,304,300 ","$1,500,324 ","$1,140,045 "
90057,Westlake,"$1,014,953 ","$943,694 ","$824,105 ","$798,056 ","$861,736 ","$747,581 "
90058,"Southeast Los Angeles, Vernon","$525,886 ","$500,172 ","$406,200 ","$389,824 ","$466,465 ","$355,609 "
90059,"Southeast Los Angeles, Watts, Willowbrook","$553,873 ","$538,721 ","$417,588 ","$393,787 ","$463,227 ","$362,066 "
90061,South Los Angeles,"$577,818 ","$567,449 ","$443,160 ","$417,265 ","$491,058 ","$384,922 "
90062,South Los Angeles,"$800,113 ","$765,661 ","$602,072 ","$595,553 ","$651,970 ","$509,945 "
90063,"City Terrace, Boyle Heights","$659,491 ","$664,102 ","$503,337 ","$488,114 ","$559,061 ","$437,052 "
90064,"Cheviot Hills, Rancho Park","$2,109,712 ","$2,007,600 ","$1,810,964 ","$1,817,617 ","$1,904,486 ","$1,694,110 "
90065,"Cypress Park, Glassell Park, Mt Washington","$1,151,787 ","$1,118,811 ","$867,157 ","$863,861 ","$947,753 ","$802,583 "
90066,"Culver City, Mar Vista","$1,847,197 ","$1,804,244 ","$1,545,462 ","$1,559,234 ","$1,669,214 ","$1,450,989 "
90067,Century City,"$1,786,840 ","$1,805,270 ","$1,691,407 ","$1,660,507 ","$1,778,265 ","$1,683,363 "
90068,Hollywood,"$2,048,079 ","$1,928,381 ","$1,591,459 ","$1,604,528 ","$1,746,838 ","$1,557,772 "
90069,"Hollywood, Melrose, West Hollywood","$3,169,349 ","$3,096,510 ","$2,757,389 ","$2,842,372 ","$3,004,412 ","$2,750,935 "
90077,"Bel Air Estates, Beverly Glen","$3,495,690 ","$3,410,227 ","$2,887,519 ","$2,936,688 ","$3,090,503 ","$2,892,473 "
90094,Playa Vista,"$2,261,843 ","$2,133,583 ","$1,809,904 ","$1,839,523 ","$1,919,591 ","$1,777,216 "
90201,"Bell, Bell Gardens, Cudahy","$622,575 ","$589,566 ","$471,815 ","$458,649 ","$524,860 ","$430,550 "
90210,Beverly Hills,"$6,733,156 ","$6,630,527 ","$5,570,351 ","$5,759,581 ","$6,015,250 ","$5,643,179 "
90211,Beverly Hills,"$2,859,819 ","$2,817,865 ","$2,422,763 ","$2,189,852 ","$2,685,144 ","$1,771,562 "
90212,Beverly Hills,"$3,710,682 ","$3,723,334 ","$3,128,011 ","$3,194,505 ","$3,443,128 ","$3,021,393 "
90220,"Compton, Rancho Dominguez","$571,957 ","$559,470 ","$429,392 ","$414,074 ","$489,189 ","$382,920 "
90221,"Compton, East Rancho Dominguez","$589,639 ","$571,689 ","$442,438 ","$421,052 ","$495,257 ","$389,834 "
90222,"Compton, Rosewood, Willowbrook","$550,892 ","$540,578 ","$412,077 ","$396,345 ","$466,443 ","$364,389 "
90230,Culver City,"$1,530,748 ","$1,495,260 ","$1,244,644 ","$1,243,306 ","$1,316,909 ","$1,154,721 "
90232,Culver City,"$1,797,158 ","$1,738,498 ","$1,425,749 ","$1,395,073 ","$1,550,764 ","$1,269,006 "
90240,Downey,"$804,587 ","$791,015 ","$636,510 ","$624,879 ","$692,245 ","$596,139 "
90241,Downey,"$803,745 ","$779,204 ","$623,044 ","$611,550 ","$683,856 ","$579,091 "
90242,Downey,"$721,738 ","$696,948 ","$556,900 ","$548,768 ","$614,630 ","$514,562 "
90245,El Segundo,"$1,839,114 ","$1,787,502 ","$1,416,916 ","$1,420,631 ","$1,600,480 ","$1,349,352 "
90247,Gardena,"$733,138 ","$704,015 ","$560,908 ","$555,254 ","$609,797 ","$513,079 "
90248,Gardena,"$774,615 ","$746,660 ","$598,309 ","$588,255 ","$649,410 ","$548,811 "
90249,Gardena,"$791,437 ","$776,052 ","$594,777 ","$574,974 ","$659,213 ","$547,148 "
90250,Hawthorne Holly Park,"$845,161 ","$842,778 ","$666,660 ","$652,128 ","$737,181 ","$603,088 "
90254,Hermosa Beach,"$2,479,272 ","$2,334,453 ","$1,932,767 ","$1,960,841 ","$2,122,950 ","$1,936,488 "
90255,"Huntington Park, Walnut Park","$629,790 ","$583,688 ","$462,507 ","$446,902 ","$520,374 ","$418,328 "
90260,Lawndale,"$796,129 ","$794,320 ","$626,377 ","$590,335 ","$683,390 ","$560,077 "
90262,Lynwood,"$612,184 ","$586,096 ","$460,098 ","$438,763 ","$511,408 ","$413,883 "
90265,Malibu,"$4,623,281 ","$4,424,548 ","$3,664,342 ","$3,938,325 ","$3,922,568 ","$3,855,834 "
90266,Manhattan Beach,"$3,117,528 ","$3,006,272 ","$2,516,696 ","$2,336,793 ","$2,712,620 ","$2,223,343 "
90270,"Bell, Maywood","$596,476 ","$563,877 ","$445,331 ","$427,202 ","$492,221 ","$405,831 "
90272,"Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park","$4,018,377 ","$3,875,535 ","$3,402,761 ","$3,556,552 ","$3,552,102 ","$3,427,759 "
90274,"Palos Verdes Estates, Rolling Hills, Rolling Hills EstatesRolling Hills Estates","$2,647,872 ","$2,487,633 ","$2,001,495 ","$2,028,912 ","$2,131,976 ","$1,980,372 "
90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$1,854,850 ","$1,776,962 ","$1,360,091 ","$1,360,389 ","$1,460,831 ","$1,330,042 "
90277,"Redondo Beach, Torrance","$1,825,265 ","$1,704,237 ","$1,418,518 ","$1,413,161 ","$1,494,780 ","$1,357,533 "
90278,"Redondo Beach, Torrance","$1,401,945 ","$1,355,898 ","$1,062,605 ","$1,045,825 ","$1,161,499 ","$991,729 "
90280,South Gate,"$618,244 ","$588,295 ","$467,663 ","$454,340 ","$518,188 ","$423,271 "
90290,Topanga,"$1,847,364 ","$1,719,148 ","$1,326,975 ","$1,364,585 ","$1,474,630 ","$1,312,817 "
90291,Venice,"$2,136,205 ","$2,067,824 ","$2,151,991 ","$2,199,255 ","$2,129,164 ","$2,135,343 "
90292,"Marina Peninsula, Marina del Rey","$1,605,357 ","$1,602,890 ","$1,388,832 ","$1,386,186 ","$1,488,864 ","$1,323,010 "
90293,Playa del Rey,"$2,051,638 ","$2,003,400 ","$1,623,443 ","$1,629,289 ","$1,812,032 ","$1,558,151 "
90301,Inglewood,"$712,619 ","$701,977 ","$545,763 ","$522,108 ","$623,332 ","$474,724 "
90302,Inglewood,"$834,530 ","$804,370 ","$641,876 ","$628,873 ","$717,458 ","$559,304 "
90303,Inglewood,"$781,091 ","$780,174 ","$586,695 ","$570,782 ","$675,671 ","$534,861 "
90304,"Inglewood, Lennox","$703,941 ","$703,558 ","$549,660 ","$529,274 ","$625,294 ","$481,577 "
90305,Inglewood,"$832,262 ","$856,214 ","$632,534 ","$624,763 ","$711,784 ","$575,539 "
90401,Santa Monica Downtown,"$1,899,057 ","$1,912,448 ","$1,866,423 ","$1,912,413 ","$1,936,444 ","$1,860,932 "
90402,Santa Monica,"$5,159,850 ","$5,057,612 ","$4,401,719 ","$4,464,378 ","$4,593,642 ","$4,493,844 "
90403,Santa Monica,"$2,447,768 ","$2,444,063 ","$2,190,411 ","$2,294,085 ","$2,341,810 ","$2,199,862 "
90404,Santa Monica,"$1,477,364 ","$1,479,879 ","$1,324,026 ","$1,324,996 ","$1,381,216 ","$1,241,666 "
90405,"Santa Monica Ocean Park, Santa Monica Airport, Sunpark","$2,400,711 ","$2,296,363 ","$2,069,392 ","$2,135,773 ","$2,164,793 ","$2,030,024 "
90501,"Torrance, Harbor Gateway","$905,536 ","$892,637 ","$710,440 ","$696,104 ","$782,130 ","$667,082 "
