Neighborhood,2022,2021,2020,2019,2018,2017
Palos Verdes Estates,2251361,2132297.5,1680793,1694650.5,1796403.5,1655207
Panorama City,725548,694839,530532,513874,593319,481650
Paramount,620941,595083,481277,465332,522742,441073
Pasadena,1270853.333,1235915.833,975778.5,974507.8333,1058114.333,931980.8333
Pico Rivera,663663,638931,501884,491527,555547,464981
Pico-Robertson,2243960,2106159,1856850,1848856,1966555,1694815
Playa Vista,2261843,2133583,1809904,1839523,1919591,1777216
Playa del Rey,2051638,2003400,1623443,1629289,1812032,1558151
Pomona,636653,603079.3333,461537.3333,448027,506739.6667,422836
Redondo Beach,1613605,1530067.5,1240561.5,1229493,1328139.5,1174631
Reseda,799946,793668,588854,579513,658308,543394
Rosemead,793259,769804,627362,625017,685395,589762
Rowland Heights,891528,841485,677414,680555,727803,662808
San Dimas,861065,831897,644133,640197,711265,618160
San Fernando,692667,680050,504491,491840,573906,458186
San Gabriel,1050263.5,1013221.5,812725,818576,889962,781275.5
San Marino,2411627,2511416,2203756,1947631,2330625,1709634
San Pedro,936157,893156.5,708446.5,692732.5,773213.5,666726.5
Santa Clarita,818365.6,795892.4,608851,605098.4,665810.4,581107.4
Santa Clarita Canyon Country,709071,684212,523467,509948,577843,486564
Santa Fe Springs,686598,659159,515007,502081,570818,476207
Santa Monica,2676950,2638073,2370394.2,2426329,2483581,2365265.6
Sawtelle,1836650,1782620,1599440,1611814,1665218,1497566
Shadow Hills,905884,877030,658538,646143,743934,612324
Sherman Oaks,1895900.5,1753450.5,1356552.5,1358567,1508866,1270759.5
Sierra Madre,1408336,1358013,1067444,1070918,1162115,1035353
Signal Hill,860532,856966,678988,671416,731600,643329
South Gate,618244,588295,467663,454340,518188,423271
South Pasadena,1528343,1564193,1267413,1249375,1338355,1063538
South Whittier,717170,687852,531263,528212,592683,501027
Stevenson Ranch,1174617,1094018,842101,832302,904545,819334
Studio City,2094040,2003817,1608965,1612138,1759723,1511549
Sun Valley,790944,779577,584275,567346,673788,528834
Tarzana,1820635,1702147,1239910,1249536,1368202,1208566
Temple City,963009,953723,765370,786297,831908,747653
Toluca Lake,1626739,1526273,1218220,1201995,1357993,1144150
Topanga,1847364,1719148,1326975,1364585,1474630,1312817
Torrance,1047671.6,1021569.2,801089.2,791294.8,869148.6,752419.2
Tujunga,917014,879249,671455,649972,754008,621196
Univerity Park,950737,904919,734284,709788,830841,648065
Valley Glen,1023433,987278.5,746758,728350.5,844726.5,684768.5
Valley Village,1420395,1379998,1009875,1003790,1158559,941738
Van Nuys,1171299,1083822,829218,805371,948476,758528
Venice,2136205,2067824,2151991,2199255,2129164,2135343
Vermont Square,736352,707601,559001.5,543125.5,611744.5,474256
Vermont Vista,706461,691279,528280,503653,592991,460893
Vernon,525886,500172,406200,389824,466465,355609
Walnut,1035253,977561,772380,787564,838160,783012
Watts,551859.5,533864,417537,392495.5,461017,359223.5
West Covina,796623,767800.6667,594496.3333,595991.3333,650221,566791.6667
West Hills,991016,960195,728732,723047,803715,701413
West Hollywood,2729230.5,2644450.5,2318267.5,2363760.5,2518477.5,2276861.5
West Whittier-Los Nietos,672867,646158,502002,494047,561260,467939
Westchester,1522591,1480961,1222316,1239386,1314026,1152864
Westlake,1014953,943694,824105,798056,861736,747581
Westwood,3156581,3099426,2742479,2755228,2898262,2630376
Whittier,789906.6667,759871,596399.6667,590893.6667,658766.6667,565635.6667
Willowbrook,577818,567449,443160,417265,491058,384922
Wilmington,646959,634598,484354,472781,538646,440067
Winnetka,833318,808386,609123,600022,678129,567192
Woodland Hills,1322257.5,1242153,921450,900203.5,1022172.5,856032
