neighborhood,num_social,num_park,num_hospital,potential,density,norm_potential,norm_social,score,y,lc_neigh,income
Alhambra,325,0.1,1.1,0.2714687529594255,11275,-0.38198158559225176,0.25564020401804266,0.12929882244383356,1,alhambra,32506.6
Arcadia,295,0.1,1.1,0.26529386272823463,4749,-0.45469299018092835,0.13933844890922184,-0.17601609236248467,0,arcadia,37797.0
Arleta,36,2.1,0.1,0.3730322016610812,10034,0.8139621046558506,-0.8647333701969314,-0.9155046357380122,0,arleta,22606.375
Atwater Village,114,6.1,0.1,0.32169789751545164,8379,0.20948344701804777,-0.5623488069139972,-0.9152141668099467,0,atwater village,42816.5
Avalon,62,0.1,1.1,-0.01199546477706448,1159,-3.7198678719166645,-0.7639385157692866,-5.247744903455238,0,avalon,40011.0
Baldwin Park,196,0.1,3.1,0.3493319415448852,11176,0.5348835886587736,-0.24445734294988694,0.04596890275899973,1,baldwin park,20976.4375
Beverly Grove,285,2.1,1.1,0.18031598348732647,12990,-1.4553360343863835,0.10057119720628156,-1.2541936399738203,0,beverly grove,16549.956521739132
Brentwood,160,5.1,0.1,0.18410801513713237,2059,-1.410683589212645,-0.3840194490804719,-2.178722487373589,0,brentwood,98098.63636363635
Burbank,628,0.1,1.1,0.3369387122008196,5785,0.3889491543193922,1.4302879306171332,3.2495250155536586,1,burbank,44735.48
Canoga Park,215,5.1,0.1,0.3641336849715271,12240,0.7091790845488722,-0.17079956471430038,0.3675799551202715,1,canoga park,27938.41176470588
Chatsworth,179,7.1,0.1,0.37769452424767036,2301,0.868862517654938,-0.3103616708448854,0.2481391759651672,1,chatsworth,42515.9
Cheviot Hills,21,5.1,0.1,0.16496628315085227,4520,-1.6360839067684114,-0.9228842477513418,-3.481852402271095,0,cheviot hills,94525.0
Chinatown,86,1.1,1.1,0.1825703722570835,10568,-1.4287898501141558,-0.67089711168223,-2.7705840734786156,0,chinatown,26968.0
Commerce,157,0.1,1.1,0.281122426606472,1912,-0.26830633890174194,-0.395649624591354,-1.05960558808445,0,commerce,21825.666666666668
Covina,250,0.1,1.1,0.35194491165111463,6701,0.5656521884975957,-0.03511418375400942,0.4954238209895768,1,covina,30022.2
Culver City,349,0.1,1.1,0.2275334419708459,7475,-0.8993346159154859,0.34868160810509935,-0.2019713997052872,0,culver city,58430.77777777778
Downey,434,0.1,2.1,0.28275750438586633,8566,-0.24905274936407562,0.6782032475800918,1.1073537457961078,1,downey,30189.777777777777
Downtown,966,8.1,2.1,0.1400070744983779,4770,-1.9299869642472576,2.7406210381765144,3.551255112105771,1,downtown,55741.066666666666
Eagle Rock,176,7.1,0.1,0.39657312788753374,7644,1.0911644106333065,-0.3219918463557675,0.4471807179217715,1,eagle rock,41246.8
East Hollywood,261,5.1,3.1,0.22403094275811974,31095,-0.9405777194838124,0.007529793119224888,-0.9255181332453626,0,east hollywood,27676.875
East Los Angeles,356,0.1,3.1,0.2961770928391081,16863,-0.09103259209740784,0.37581868429715753,0.6606047764969072,1,east los angeles,18064.14814814815
Echo Park,163,8.1,0.1,0.28592719699575864,16868,-0.21172855522448703,-0.37238927356958984,-0.9565071023636667,0,echo park,45376.66666666666
El Sereno,115,8.1,0.1,0.29470838161452306,9826,-0.10832715962434132,-0.5584720817437032,-1.2252713231117478,0,el sereno,24741.0
Encino,215,4.1,1.1,0.4145644756833675,4411,1.3030185683105628,-0.17079956471430038,0.9614194388819621,1,encino,64171.15384615384
Fairfax,187,6.1,0.1,0.12508571268343793,10122,-2.1056910068000736,-0.2793478694825332,-2.66438674576514,0,fairfax,29152.6875
Gardena,327,0.1,1.1,0.31083116588136384,9894,0.08152403546259025,0.2633936543586307,0.6083113441798517,1,gardena,39410.30952380953
Glendale,685,0.1,3.1,0.3470006370107859,6368,0.5074316954506862,1.6512612653238927,3.809954226098472,1,glendale,43103.38461538462
Granada Hills,151,6.1,0.1,0.37300620030291554,3344,0.8136559299381385,-0.41890997561311816,-0.024164021288097803,0,granada hills,42453.73333333333
Harbor City,111,8.1,1.1,0.33346209712244335,9127,0.3480108451190103,-0.5739789824248793,-0.7999471197307484,0,harbor city,31371.75
Harvard Heights,102,1.1,0.1,0.27895987593752847,23473,-0.2937710987186532,-0.6088695089575256,-1.5115101166337044,0,harvard heights,18913.6
Hawaiian Gardens,67,0.1,1.1,0.3263433084881522,15141,0.26418472008854316,-0.7445548899178165,-1.2249250597470898,0,hawaiian gardens,18955.666666666668
Highland Park,181,10.1,0.1,0.3395214029105522,16835,0.4193612041035657,-0.30260822050429736,-0.18585523690502903,0,highland park,34851.07692307692
Historic South-Central,137,4.1,1.1,0.31528221914847254,19474,0.13393668132885928,-0.4731841279972346,-0.8124315746656099,0,historic south-central,53489.21739130434
Hollywood,524,9.1,1.1,0.20767564440551212,22193,-1.13316684595572,1.0271085129065542,0.9210501798573885,1,hollywood,16322.5
Hyde Park,73,4.1,0.1,0.32970370265003335,12700,0.30375448899678253,-0.7212945388960523,-1.1388345887953222,0,hyde park,23978.14285714286
Inglewood,401,0.1,1.1,0.307088246754301,12330,0.03744990672490849,0.5502713169603888,1.1379925406456861,1,inglewood,28948.846153846152
Jefferson Park,41,3.1,1.1,0.2298386533314194,16300,-0.8721899785817877,-0.8453497443454613,-2.5628894672727105,0,jefferson park,22540.0
La Mirada,189,0.1,1.1,0.3400316429887944,5966,0.4253694522468319,-0.2715944191419451,-0.11781938603705827,0,la mirada,35719.545454545456
Ladera Heights,25,0.1,1.1,0.3236447684344035,2214,0.23240850540285654,-0.9073773470701657,-1.5823461887374748,0,ladera heights,58778.0
