Year,Period,civilian noninstitutional population,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2020,Jan,8053271,65.4(R),62.2(R),5268397(R),5008947(R),259450(R),4.9(R)
2020,Feb,8050254,65.8(R),62.6(R),5296024(R),5037619(R),258405(R),4.9(R)
2020,Mar,8047549,62.4(R),58.2(R),5022339(R),4685224(R),337115(R),6.7(R)
2020,Apr,8076351(R),59.1(R),49.1(R),4773861(R),3964301(R),809560(R),17.0(R)
2020,May,8064400(R),58.1(R),47.0(R),4683090(R),3793695(R),889395(R),19.0(R)
2020,Jun,8052405(R),61.1(R),50.2(R),4920398(R),4042822(R),877576(R),17.8(R)
2020,Jul,8040457(R),62.8(R),51.1(R),5047260(R),4106297(R),940963(R),18.6(R)
2020,Aug,8031268(R),62.7(R),52.1(R),5038699(R),4180749(R),857950(R),17.0(R)
2020,Sep,8022048(R),60.1(R),53.3(R),4823991(R),4276753(R),547238(R),11.3(R)
2020,Oct,8012827(R),60.8(R),54.4(R),4869275(R),4362860(R),506415(R),10.4(R)
2020,Nov,8003379(R),61.3(R),54.9(R),4902789(R),4395343(R),507446(R),10.4(R)
2020,Dec,7994160(R),61.0(R),54.4(R),4877939(R),4351494(R),526445(R),10.8(R)
2021,Jan,7985229(R),61.3(R),54.6(R),4895881(R),4358505(R),537376(R),11.0(R)
2021,Feb,7975641(R),62.4(R),55.9(R),4976240(R),4455056(R),521184(R),10.5(R)
2021,Mar,7966265(R),62.7(R),56.2(R),4991495(R),4473596(R),517899(R),10.4(R)
2021,Apr,7957228(R),62.8(R),56.4(R),4995916(R),4485635(R),510281(R),10.2(R)
2021,May,7947879(R),62.8(R),56.9(R),4993267(R),4523745(R),469522(R),9.4(R)
2021,Jun,7938532(R),62.9(R),56.6(R),4989591(R),4494146(R),495445(R),9.9(R)
2021,Jul,7929192(R),63.5(R),57.4(R),5033302(R),4553067(R),480235(R),9.5(R)
2021,Aug,7926015(R),62.9(R),57.3(R),4985861(R),4540186(R),445675(R),8.9(R)
2021,Sep,7922810(R),63.2(R),58.3(R),5004482(R),4618625(R),385857(R),7.7(R)
2021,Oct,7919626(R),63.3(R),58.7(R),5009265(R),4646653(R),362612(R),7.2(R)
2021,Nov,7916161(R),63.7(R),59.6(R),5044623(R),4720492(R),324131(R),6.4(R)
